area_id,value
110000,91.6
120000,93.0
130000,84.1
140000,93.0
150000,85.9
210000,89.7
220000,87.8
230000,87.8
310000,97.1
320000,91.2
330000,93.7
340000,91.7
350000,88.3
360000,91.6
370000,91.5
410000,91.5
420000,94.2
430000,84.3
440000,95.9
450000,86.9
460000,90.3
510000,84.2
520000,81.5
530000,89.1
540000,76.4
500000,92.7
610000,87.2
620000,90.6
630000,84.5
640000,87.8
650000,82.5
320300,94.9
320700,95.5
321300,87.2
320800,87.8
320900,85.1
321000,94.3
321200,94.3
320600,87.8
320100,90.4
321100,94.3
320400,94.9
320200,95.2
320500,89.1
320281,92.3
320206,92.4
320205,86.4
320213,93.0
320214,84.0
320211,97.4
320282,94.3
