id,dotid,lat,lng,value,info,type,name,label
1,1,31.560514,120.383008,25,公园<br/>新吴区市民公园,1,公园,4
2,2,31.539103,120.361901,25,公园<br/>新吴区友谊林公园,1,公园,4
3,3,31.46074,120.390369,25,公园<br/>新吴区新安湿地公园,1,公园,4
4,4,31.566303,120.339518,25,公园<br/>新吴区保利中央公园,1,公园,4
5,5,31.493329,120.527052,25,公园<br/>新吴区梁鸿国家湿地公园,1,公园,4
6,6,31.535963,120.346105,25,公园<br/>新吴区一旺庄公园,1,公园,4
7,7,31.558099,120.38402,25,公园<br/>新吴区江溪体育公园,1,公园,4
8,8,31.489863,120.532095,25,公园<br/>新吴区沙滩夜公园,1,公园,4
9,9,31.555833,120.378953,25,公园<br/>新吴区泰伯体育公园,1,公园,4
10,10,31.581968,120.416111,25,公园<br/>新吴区九里河湿地公园,1,公园,4
11,11,31.56261,120.366116,25,公园<br/>新吴区新城中央公园,1,公园,4
12,12,31.492327,120.506744,25,公园<br/>新吴区鸿山遗址公园,1,公园,4
13,13,31.460654,120.390388,25,公园<br/>新吴区新安太湖湿地公园,1,公园,4
14,14,31.555995,120.339829,25,公园<br/>新吴区江溪前进滨水公园,1,公园,4
15,15,31.562668,120.367359,25,公园<br/>新吴区中央体育公园,1,公园,4
16,16,31.491661,120.485224,25,公园<br/>新吴区唐明河健康主题公园,1,公园,4
17,17,31.524098,120.390839,25,公园<br/>新吴区新洲生态园,1,公园,4
