id,lat,lng,value,radius
无锡国际招商城,31.559112,120.331664,,5
江苏省无锡市新吴区欧尚(长江店),31.56957,120.334839,,4
江苏省无锡市新吴区无锡雷迪森广场酒店,31.560036,120.346999,,7
江苏省无锡市新吴区宝龙城市广场,31.540354,120.351138,,7
江苏省无锡市新吴区春潮花园二区北区二区192-194号春潮花园二区北区,31.543335,120.370793,,7
江苏省无锡市新吴区旺庄东路3号,31.548674,120.364957,,4
江苏省无锡市新吴区新光路551号新之城,31.561876,120.374184,,5
江苏省无锡市新吴区新丰苑3区14号楼新丰苑三期,31.562011,120.389232,,7
江苏省无锡市新吴区金城东路299号五洲国际工业博览城,31.568529,120.40519,,3
江苏省无锡市新吴区联心嘉园联心嘉园北区,31.545462,120.418957,,4
江苏省无锡市新吴区凯利公社,31.533993,120.435072,,2
江苏省无锡市新吴区江苏省梅村高级中学,31.538225,120.436756,,2
江苏省无锡市新吴区梅育路71号梅荆花苑西区,31.534916,120.439494,,2
江苏省无锡市惠山区无锡惠山经济开发区春惠路34号长安哥伦布广场,31.675275,120.357848,,2
江苏省无锡市新吴区梅村服务区,31.522817,120.434312,,4
江苏省无锡市新吴区苏南硕放国际机场,31.49891,120.434015,,2
江苏省无锡市新吴区肯德基(百联奥特莱斯广场B区)百联奥特莱斯广场B区,31.521282,120.448248,,4
江苏省无锡市新吴区南星苑3区,31.471127,120.440994,,2
江苏省无锡市新吴区瑞港国际大酒店,31.476477,120.445653,,2
江苏省无锡市新吴区鸿运苑(欣鸿路)鸿运苑第一社区北苑,31.49406,120.483623,,3
