id,dotid,lat,lng,value,info,type,name
1,1,31.543356,120.3405,10,新吴区下浦巷22号前小公园,1,健身路径
2,2,31.553091,120.361501,10,新吴区春潮花园一区140号旁,1,健身路径
3,3,31.553154,120.367103,10,新吴区春潮花园一区425号前面,1,健身路径
4,4,31.543996,120.375284,10,新吴区春潮花园二区282号西面,1,健身路径
5,5,31.561679,120.381709,10,新吴区万裕苑二社区197号楼北面30米,1,健身路径
6,6,31.559275,120.339609,10,新吴区叙丰家园社区269号旁,1,健身路径
7,7,31.567328,120.332733,10,新吴区叙成里17-21号,1,健身路径
8,8,31.561636,120.341343,10,新吴区奕淳公寓一期3号门附近,1,健身路径
9,9,31.566165,120.343374,10,新吴区景南苑11号门附近,1,健身路径
10,10,31.565117,120.341607,10,新吴区叙康里275号附近,1,健身路径
11,11,31.563708,120.374421,10,新吴区张中丞庙朝阳寺广场（金城路与春华路交界处）,1,健身路径
12,12,31.55705,120.348942,10,新吴区长江国际雅园前，前卫路伯渎港桥下往西260米,1,健身路径
13,13,31.545536,120.43825,10,新吴区泰伯一期幼儿园旁,1,健身路径
14,14,31.549797,120.427574,10,新吴区香熙苑小区中间健身场地,1,健身路径
15,15,31.4947,120.48823,10,新吴区鸿运苑460号楼后面10米,1,健身路径
16,16,31.548244,120.368431,10,新吴区春潮三区129号东侧面空地,1,健身路径
17,17,31.568689,120.337106,10,新吴区欧典家园83号西侧10米,1,健身路径
18,18,31.476661,120.447853,10,新吴区新锦园社区99号西侧5米,1,健身路径
19,19,31.476661,120.447853,10,新吴区新锦园社区广场东面、30号西侧50米,1,健身路径
20,20,31.462261,120.452202,10,新吴区丽景佳苑三期262门前广场,1,健身路径
21,21,31.46073,120.45395,10,新吴区丽景佳苑三期239门前,1,健身路径
22,22,31.462261,120.452202,10,新吴区丽景佳苑三期218门前广场,1,健身路径
23,23,31.545924,120.434644,10,新吴区泰伯一期156号旁边,1,健身路径
24,24,31.53202,120.470008,10,新吴区鸿西村麻雀园,1,健身路径
25,25,31.496551,120.494425,10,新吴区鸿运苑585幢后面配电间旁,1,健身路径
26,26,31.495021,120.488254,10,新吴区鸿运苑555单元西边地下车库入口旁,1,健身路径
27,27,31.524704,120.499069,10,新吴区鸿泰苑第一社区五区46幢南侧,1,健身路径
28,28,31.550957,120.352778,10,新吴区环太湖湿地公园西侧,1,健身路径
29,29,31.551291,120.351898,10,新吴区环太湖湿地公园西北侧,1,健身路径
30,30,31.557794,120.383799,10,新吴区江溪街道体育公园（新芳路与坊镇路交界处）,1,篮球架
31,31,31.473214,120.441898,10,新吴区南星苑6区中心广场,1,篮球架
32,32,31.567181,120.297685,10,新吴区鸿运苑唐明河体育公园东边篮球场,1,篮球架
33,33,31.568351,120.338061,10,新吴区欧典家园78号东侧10米,1,乒乓桌
34,34,31.47656,120.38144,10,新吴区新安花苑二社区201号楼北侧30米,1,乒乓桌
35,35,31.568689,120.337106,10,新吴区欧典家园83号西侧10米,1,乒乓桌
36,36,31.478895,120.454933,10,新吴区咏硕苑4号门前20米,1,乒乓桌
37,37,31.478895,120.454933,10,新吴区咏硕苑34号门前20米,1,乒乓桌
38,38,31.48741,120.379722,10,新吴区青年公社1号楼,1,乒乓桌
