id,dotid,lat,lng
1,1,31.543356,120.3405
2,2,31.553091,120.361501
3,3,31.553154,120.367103
4,4,31.543996,120.375284
5,5,31.561679,120.381709
6,6,31.559275,120.339609
7,7,31.567328,120.332733
8,8,31.561636,120.341343
9,9,31.566165,120.343374
10,10,31.565117,120.341607
11,11,31.563708,120.374421
12,12,31.55705,120.348942
13,13,31.545536,120.43825
14,14,31.549797,120.427574
15,15,31.4947,120.48823
16,16,31.548244,120.368431
17,17,31.568689,120.337106
18,18,31.476661,120.447853
19,19,31.476661,120.447853
20,20,31.462261,120.452202
21,21,31.46073,120.45395
22,22,31.462261,120.452202
23,23,31.545924,120.434644
24,24,31.53202,120.470008
25,25,31.496551,120.494425
26,26,31.495021,120.488254
27,27,31.524704,120.499069
28,28,31.550957,120.352778
29,29,31.551291,120.351898
30,30,31.557794,120.383799
31,31,31.473214,120.441898
32,32,31.568351,120.338061
33,33,31.47656,120.38144
34,34,31.568689,120.337106
35,35,31.478895,120.454933
36,36,31.478895,120.454933
37,37,31.48741,120.379722
38,38,31.545244,120.351297
39,39,31.55077,120.360741
40,40,31.458756,120.44294
41,41,31.486942,120.494639
42,42,31.548664,120.355506
43,43,31.578352,120.315376
44,44,31.507143,120.432852
45,45,31.57078,120.330883
46,46,31.566555,120.343271
47,47,31.56314,120.33542
48,48,31.529291,120.387447
49,49,31.54603,120.357583
50,50,31.482788,120.447485
51,51,31.531993,120.387418
52,52,31.547349,120.388705
53,53,31.488027,120.49953
54,54,31.47855,120.385047
55,55,31.569657,120.328388
56,56,31.572347,120.319994
57,57,31.547267,120.388896
58,58,31.566363,120.342706
59,59,31.544704,120.352622
60,60,31.543538,120.362311
61,61,31.561953,120.380076
62,62,31.600727,120.226714
63,63,31.498568,119.714227
64,64,31.493888,120.480234
65,65,31.629954,120.299576
66,66,31.557208,120.389863
67,67,31.55603,120.371516
68,68,31.423904,120.106576
69,69,31.669011,120.355369
70,70,31.650761,120.194071
71,71,31.57272,120.327843
72,72,31.568543,120.374561
73,73,31.561332,120.368113
74,74,31.538762,120.350992
75,75,31.470938,120.380177
76,76,31.470829,120.44693
77,77,31.534022,120.434918
78,78,31.546208,120.382152
79,79,31.533765,120.43167
80,80,31.578638,120.402012
81,81,31.476512,120.445758
82,82,31.552305,120.350262
83,83,31.48847,120.455773
84,84,31.547473,120.353279
85,85,31.573798,120.328609
86,86,31.567789,120.33711
87,87,31.559318,120.345397
88,88,31.488455,120.455907
89,89,31.545497,120.44321
90,90,31.528538,120.499868
91,91,31.527539,120.384913
92,92,31.567201,120.379033
93,93,31.570307,120.345916
94,94,31.543339,120.446095
95,95,31.550614,120.356152
96,96,31.484029,120.467844
97,97,31.560202,120.343132
98,98,31.534073,120.43482
99,99,31.526951,120.505135
100,100,31.538055,120.351893
101,101,31.561717,120.32303
102,102,31.472628,120.365261
103,103,31.483504,120.508072
104,104,31.493389,120.486256
105,105,31.545368,120.443437
106,106,31.556249,120.346959
107,107,31.490524,120.363519
108,108,31.551127,120.347447
109,109,31.552031,120.350148
110,110,31.48917,120.451969
111,111,31.548508,120.374955
112,112,31.493888,120.480234
113,113,31.541864,120.359344
114,114,31.479214,120.445382
115,115,31.578986,120.40174
116,116,31.566084,120.40798
117,117,31.557813,120.390861
118,118,31.561443,120.368129
119,119,31.569391,120.343359
120,120,31.561189,120.345652
121,121,31.529209,120.3865
122,122,31.483419,120.467738
123,123,31.537869,120.363
124,124,31.551328,120.347812
125,125,31.548964,120.36712
126,126,31.475945,120.387633
127,127,31.558117,120.388981
128,128,31.536863,120.351144
129,129,31.546187,120.355833
130,130,31.559757,120.363634
131,131,31.559208,120.375968
132,132,31.562626,120.340599
133,133,31.573044,120.326525
134,134,31.555006,120.347974
135,135,31.486058,120.495266
136,136,31.543347,120.425613
137,137,31.56225,120.387471
138,138,31.552979,120.377648
139,139,31.551417,120.37579
140,140,31.537947,120.43614
141,141,31.463871,120.443407
142,142,31.480743,120.37619
143,143,31.560514,120.383008
144,144,31.539103,120.361901
145,145,31.46074,120.390369
146,146,31.566303,120.339518
147,147,31.493329,120.527052
148,148,31.535963,120.346105
149,149,31.558099,120.38402
150,150,31.489863,120.532095
151,151,31.555833,120.378953
152,152,31.585756,120.415388
153,153,31.56261,120.366116
154,154,31.492327,120.506744
155,155,31.460654,120.390388
156,156,31.555995,120.339829
157,157,31.562668,120.367359
158,158,31.491661,120.485224
159,159,31.524098,120.390839
160,160,31.557555,120.383722
161,161,31.540727,120.352721
162,162,31.572082,120.346776
163,163,31.511515,120.50943
164,164,31.538738,120.437362
165,165,31.540907,120.375782
166,166,31.533656,120.430991
167,167,31.559609,120.363613
168,168,31.48847,120.455773
169,169,31.56515,120.385603
170,170,31.572281,120.347302
171,171,31.536126,120.357668
172,172,31.552714,120.405493
173,173,31.519144,120.38751
174,174,31.536823,120.3509
175,175,31.572252,120.347168
176,176,31.57237,120.347257
177,177,31.572303,120.347266
178,178,31.53667,120.35084
179,179,31.571057,120.34336
