K,w1,w2,w3,dis1,dis2,dis3,dis4,dis5
50,0.33,0.33,0.33,11.25,10.5,7.23,10.74,10.25
,0.4,0.3,0.3,11.75,9.45,7.62,11.29,9.87
,0.3,0.4,0.3,11.22,10.52,7.18,10.34,10.71
,0.3,0.3,0.4,10.63,10.64,7.23,12.03,9.21
,0.5,0.25,0.25,11.27,9.76,7.22,11.27,10.46
,0.25,0.5,0.25,12.06,9.67,7.11,10.98,10.16
,0.25,0.25,0.5,10.97,9.99,7.33,10.62,11.05
,0.6,0.2,0.2,10.12,10.65,7.47,10.82,10.9
,0.2,0.6,0.2,11.6,10.07,7.85,11.22,9.24
,0.2,0.2,0.6,11.61,9.1,7.78,11.18,10.3
,0.7,0.15,0.15,0,0,15.29,24.37,6.03
,0.15,0.7,0.15,10.62,9.88,7.93,11.62,9.91
,0.15,0.15,0.7,11.17,9.8,7.01,10.91,11.08
